rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
113,Disney,3xvaSlT4xsyk6lY1ESOspO,"40,052,218","-27,296","41,028,163"
114,Tems,687cZJR45JO7jhk1LHIbgq,"39,694,559","-16,758","39,775,647"
115,Akon,0z4gvV4rjIZ9wHck67ucSV,"39,397,039","3,620","40,257,041"
116,Myke Towers,7iK8PXO48WeuP03g8YR51W,"39,129,120","-75,429","47,235,005"
117,EJAE,0RMJOzHDhAKY1o2j0W0vxY,"39,090,900","-160,569","55,600,304"
118,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,"39,004,044","8,285","52,930,766"
119,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,"38,989,074","-163,386","39,359,637"
120,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"38,622,254","58,393","38,622,254"
121,Green Day,7oPftvlwr6VrsViSDV7fJY,"38,581,488","-37,905","38,619,393"
122,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,"38,489,436","-82,366","48,511,206"
123,REI AMI,6U1dV7aL68N7Gb0Naq34V5,"38,389,333","-153,294","55,202,504"
124,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"38,311,272","-243,503","38,717,830"
125,Feid,2LRoIwlKmHjgvigdNGBHNo,"38,221,256","-176,688","46,407,503"
126,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,"37,951,217","-5,964","37,978,413"
127,ABBA,0LcJLqbBmaGUft1e9Mm8HV,"37,943,195","7,951","45,956,945"
128,HUNTR/X,2yNNYQBChuox9A5Ka93BIn,"37,811,910","-157,519","54,529,976"
129,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,"37,657,397","18,854","47,431,521"
130,Anitta,7FNnA9vBm6EKceENgCGRMb,"37,640,402","-68,073","45,678,504"
131,AUDREY NUNA,0Wwji82sLA0Hcvtuak3omb,"37,447,791","-142,343","54,291,080"
132,BeÃ©le,7a0XAaPaK2aDSqa8p3QnC7,"37,395,097",-792,"39,921,365"
133,Avicii,1vCWHaC5f2uS3yhpwWbIA6,"37,170,977","-7,670","43,468,577"
134,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,"37,083,284","174,130","37,083,284"
135,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,"37,082,143","29,136","37,082,143"
136,Cardi B,4kYSro6naA4h99UJvo89HB,"37,051,381","-116,082","38,247,799"
137,Nirvana,6olE6TJLqED3rqDCT0FyPh,"36,966,558","-55,832","37,022,390"
138,The MarÃ­as,2sSGPbdZJkaSE2AbcGOACx,"36,872,613","-157,998","38,403,726"
139,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"36,828,344","-30,016","52,532,512"
140,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,"36,765,593","-30,571","51,497,815"
141,AC/DC,711MCceyCBcFnzjGY4Q7Un,"36,765,402","-51,673","40,609,655"
142,Irshad Kamil,3GdSQUH1BRtl9UrrtuwJlP,"36,264,354","-156,316","38,606,762"
143,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,"36,219,712","477,079","39,844,680"
144,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,"36,075,861","23,828","38,486,480"
145,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,"35,874,064","20,300","39,587,171"
146,Tyla,3SozjO3Lat463tQICI9LcE,"35,757,907","-117,998","46,584,665"
147,P!nk,1KCSPY1glIKqW2TotWuXOR,"35,604,741","64,004","37,814,655"
